name,longitude,latitude
Panthera leo,2.229199,11.796969
Panthera leo,1.955076,11.347831
Panthera leo,33.732106,3.789113
Panthera leo,32.192035,-28.467019
Panthera leo,27.183801,-19.050856
Panthera leo,35.514175,-3.3441
Panthera leo,35.077585,-2.40537
Panthera leo,35.14347,-2.902079
Panthera leo,38.2007,-0.2427
Panthera leo,2.341117,11.723785
Panthera leo,35.302008,-1.312321
Panthera leo,2.592583,12.121363
Panthera leo,26.007863,-33.254241
Panthera leo,26.058089,-24.755009
Panthera leo,20.299045,-26.132044
Panthera leo,28.563182,-24.440269
Panthera leo,23.06973,-19.279987
Panthera leo,23.899167,-18.244677
Panthera leo,23.61173,-19.050845
Panthera leo,16.167153,-19.06038
Panthera leo,31.405857,2.227413
Panthera leo,25.559411,-32.223644
Panthera leo,25.559387,-32.356236
Panthera leo,27.060037,-25.273981
Panthera leo,24.283302,-27.411209
Panthera leo,38.685106,-3.854466
Panthera leo,38.660784,-3.995313
Panthera leo,38.601572,-3.927223
Panthera leo,35.172511,-2.416978
Panthera leo,27.560723,-24.440268
Panthera leo,25.797568,-17.930117
Panthera leo,28.498129,-25.238419
Panthera leo,38.06152,-12.119982
Panthera leo,31.356986,-22.921924
Panthera leo,23.529019,-19.378974
Panthera leo,31.426806,-23.383413
Panthera leo,26.051686,-18.726605
Panthera leo,29.588861,-15.948389
Panthera leo,36.708502,-1.392847
Panthera leo,36.603375,-1.305086
Panthera leo,35.663038,-3.190745
Panthera leo,36.138834,-3.638676
Panthera leo,31.30698,-24.602338
Panthera leo,35.261135,-1.05865
Panthera leo,20.985127,-25.879834
Panthera leo,29.65368,-0.663893
Panthera leo,29.385527,3.620211
Panthera leo,31.951162,-24.331971
Panthera leo,36.716725,0.369598
Panthera leo,27.294484,-18.990728
Panthera leo,32.427173,-26.983409
Panthera leo,22.449063,-19.691232
Panthera leo,32.18412,-27.664574000000002
Panthera leo,31.685637,-24.3852
Panthera leo,23.971606,-18.541407
Panthera leo,23.812834,-18.49974
Panthera leo,23.294936,-19.03507
Panthera leo,31.524628,-24.001718
Panthera leo,35.385499,-1.441299
Panthera leo,26.7628,-18.766426
Panthera leo,29.491785,-15.709395
Panthera leo,35.659356,-3.055619
